[0.009s][info][gc] Using The Z Garbage Collector
[11.577s][info][gc] GC(61) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[11.675s][info][gc] GC(62) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[11.774s][info][gc] GC(63) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[11.869s][info][gc] GC(64) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[11.972s][info][gc] GC(65) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.076s][info][gc] GC(66) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.171s][info][gc] GC(67) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.272s][info][gc] GC(68) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.369s][info][gc] GC(69) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.454s][info][gc] GC(70) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.561s][info][gc] GC(71) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.672s][info][gc] GC(72) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.774s][info][gc] GC(73) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.871s][info][gc] GC(74) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[12.971s][info][gc] GC(75) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.075s][info][gc] GC(76) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.169s][info][gc] GC(77) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.274s][info][gc] GC(78) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.371s][info][gc] GC(79) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.473s][info][gc] GC(80) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.575s][info][gc] GC(81) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.674s][info][gc] GC(82) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.771s][info][gc] GC(83) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.874s][info][gc] GC(84) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[13.980s][info][gc] GC(85) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.071s][info][gc] GC(86) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.173s][info][gc] GC(87) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.277s][info][gc] GC(88) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.355s][info][gc] GC(89) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.459s][info][gc] GC(90) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.566s][info][gc] GC(91) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.652s][info][gc] GC(92) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.753s][info][gc] GC(93) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.853s][info][gc] GC(94) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[14.953s][info][gc] GC(95) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.053s][info][gc] GC(96) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.153s][info][gc] GC(97) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.253s][info][gc] GC(98) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.353s][info][gc] GC(99) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.454s][info][gc] GC(100) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.553s][info][gc] GC(101) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.651s][info][gc] GC(102) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.753s][info][gc] GC(103) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.853s][info][gc] GC(104) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[15.951s][info][gc] GC(105) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[16.054s][info][gc] GC(106) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[16.155s][info][gc] GC(107) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
[16.253s][info][gc] GC(108) Garbage Collection (Allocation Rate) 8M(67%)->8M(67%)
